
Julio,Adzemian,Top,1230.50,1,CHI
Ramiro,Alamo,Jungla,129.50,2,CHI
Jeremy,Albright,Mid,1600.70,30,CHI
Anthonio,Alcaraz,ADC,1290.70,40,CHI
Chepe,Allen,Support,1290.50,60,CHI
Lucia,Alvarez,Top,166.60,70,ARG
Jd,Angel,Jungla,1500.00,71,ARG
Pancho,Angulo,Mid,1290.30,72,ARG
Felipe,Arce,ADC,1290.40,71,ARG
Ernesto,Arnaud,Support,105.30,90,ARG
Klan,Ashe,Top,330.00,91,GTM
Eddie,Attakora,Jungla,1290.00,90,GTM
Jorge,Avila,Mid,450.30,45,GTM
Hector,Ayres,ADC,1770.20,34,GTM
Josue,Badilla,Support,138.80,80,GTM
Ochoa,Ballouchy,Top,750.20,81,LA
Jose,Banner,Jungla,1290.00,93,LA
Samuel,Barlow,Mid,1290.10,92,LA
Rodolfo,Barrett,ADC,537.13,13,LA
Carl,Barrett,Support,148.11,15,LA
Cj,Beckerman,Top,143.10,20,ESP
Angel,Beckham,Jungla,5500.15,21,ESP
Engels,Beltran,Mid,550.20,22,ESP
Dani,Besagno,ADC,100.90,2,ESP
Daniel,Blanco,Support,249.60,3,ESP
Juan,Beckerman,Top,143.10,45,JPN
Zurui,Bucker,Jungla,5500.15,67,JPN
Felipe,Beltranena,Mid,550.20,89,JPN
Agustin,Razer,ADC,100.90,60,JPN
Parada,Montenegro,Support,249.60,98,JPN
